user_id,item_id,test_id
920,1,1
2100,168,2
1526,242,3
74,120,4
1109,50,5
1455,369,6
1307,45,7
74,415,8
2099,165,9
1350,104,10
694,242,11
56,272,12
707,166,13
1014,29,14
1576,223,15
1403,83,16
54,10,17
757,450,18
854,227,19
2118,71,20
837,29,21
1249,242,22
56,69,23
815,230,24
644,168,25
1577,79,26
333,86,27
1705,481,28
997,153,29
2019,41,30
427,194,31
1001,39,32
1237,369,33
692,100,34
665,18,35
1625,104,36
323,40,37
568,100,38
1607,206,39
138,8,40
221,1,41
74,399,42
22,59,43
186,258,44
42,207,45
796,301,46
267,16,47
2117,45,48
1401,168,49
223,155,50
16,12,51
872,59,52
1864,206,53
446,122,54
1061,80,55
649,352,56
704,8,57
344,12,58
11,180,59
712,202,60
1292,17,61
390,202,62
376,45,63
967,226,64
1075,69,65
2018,234,66
1760,224,67
2018,227,68
1080,23,69
1011,232,70
58,140,71
71,102,72
2130,548,73
1447,176,74
1279,311,75
1803,182,76
880,12,77
1453,354,78
624,46,79
1665,19,80
597,211,81
672,149,82
460,212,83
1217,212,84
2121,153,85
351,18,86
1361,88,87
72,124,88
1492,59,89
611,202,90
1368,13,91
195,202,92
1660,302,93
1013,168,94
193,94,95
957,226,96
822,226,97
120,30,98
506,53,99
124,481,100
416,29,101
1083,86,102
324,32,103
1227,277,104
115,226,105
947,2,106
1807,18,107
71,234,108
2033,46,109
1927,359,110
321,203,111
1656,384,112
933,203,113
1888,226,114
333,206,115
1235,124,116
1302,209,117
206,12,118
1121,29,119
1329,186,120
815,56,121
1397,233,122
1500,126,123
1305,19,124
45,397,125
249,88,126
64,23,127
703,21,128
334,402,129
994,39,130
1480,309,131
337,434,132
1132,19,133
1340,30,134
57,429,135
323,457,136
224,150,137
1255,362,138
1456,292,139
562,206,140
2068,26,141
62,13,142
60,232,143
1587,165,144
1868,13,145
1347,223,146
483,12,147
77,215,148
288,301,149
1276,206,150
723,29,151
230,0,152
993,122,153
681,59,154
209,467,155
798,12,156
1055,224,157
1557,509,158
349,117,159
1581,29,160
0,33,161
798,448,162
1480,40,163
2009,14,164
566,150,165
269,531,166
31,323,167
2003,19,168
197,162,169
1524,84,170
1168,315,171
2017,232,172
651,26,173
1215,379,174
1176,317,175
1909,19,176
1062,97,177
52,6,178
62,5,179
444,11,180
224,465,181
891,87,182
124,14,183
238,206,184
301,12,185
1563,370,186
111,202,187
77,156,188
1773,231,189
648,168,190
413,95,191
1225,322,192
619,167,193
233,62,194
1244,307,195
1256,323,196
548,124,197
52,277,198
2025,18,199
659,69,200
823,214,201
1703,25,202
1156,448,203
47,204,204
94,481,205
1195,94,206
707,203,207
1055,312,208
2007,224,209
504,61,210
166,9,211
1495,168,212
514,192,213
1891,112,214
481,42,215
1514,227,216
166,72,217
2046,267,218
1132,56,219
107,263,220
418,203,221
153,304,222
1770,57,223
1228,41,224
417,202,225
1682,428,226
863,88,227
31,0,228
672,242,229
40,9,230
990,212,231
1217,77,232
624,79,233
887,140,234
115,202,235
249,95,236
1657,34,237
330,168,238
11,213,239
966,4,240
16,214,241
1420,13,242
1065,212,243
1235,89,244
1469,374,245
1399,232,246
1423,89,247
964,86,248
0,12,249
480,309,250
617,89,251
1711,95,252
1591,17,253
2120,199,254
2133,275,255
504,2,256
186,59,257
732,486,258
1940,13,259
805,104,260
1139,256,261
1754,245,262
1211,243,263
848,80,264
262,229,265
1015,94,266
444,206,267
537,53,268
1185,351,269
383,373,270
790,4,271
1814,19,272
808,88,273
738,22,274
295,234,275
514,360,276
873,69,277
106,479,278
391,441,279
731,204,280
50,84,281
1570,309,282
2050,208,283
658,86,284
980,103,285
317,300,286
13,263,287
1175,171,288
452,210,289
1053,227,290
308,43,291
14,144,292
527,10,293
1280,373,294
725,124,295
405,9,296
784,93,297
1103,71,298
230,529,299
1225,95,300
1941,96,301
942,45,302
1071,86,303
570,1,304
672,98,305
47,86,306
388,86,307
1024,483,308
1158,423,309
996,89,310
1544,337,311
1979,84,312
95,92,313
25,172,314
1736,307,315
1241,86,316
49,248,317
1142,343,318
1363,16,319
1745,303,320
1116,211,321
1563,300,322
1877,97,323
524,202,324
1470,165,325
578,202,326
795,211,327
2101,373,328
1699,302,329
1572,55,330
1080,1,331
1815,86,332
803,53,333
404,93,334
1118,204,335
1941,168,336
713,80,337
1363,11,338
1343,304,339
67,123,340
75,16,341
350,72,342
482,88,343
620,340,344
45,65,345
405,242,346
2076,82,347
1572,79,348
102,83,349
122,226,350
207,264,351
815,48,352
807,206,353
21,231,354
244,451,355
1021,15,356
542,150,357
481,356,358
1483,87,359
1210,305,360
11,255,361
1042,208,362
1600,18,363
623,204,364
1471,341,365
1059,212,366
1537,242,367
337,45,368
1488,32,369
1020,173,370
45,362,371
138,167,372
562,96,373
191,103,374
35,43,375
843,56,376
152,45,377
117,150,378
1280,241,379
732,168,380
1476,24,381
442,176,382
2088,43,383
1414,377,384
969,3,385
383,46,386
176,12,387
781,208,388
385,167,389
423,206,390
1410,85,391
11,258,392
1017,150,393
1932,94,394
921,238,395
353,9,396
529,206,397
432,206,398
469,32,399
806,206,400
37,337,401
1714,345,402
1488,18,403
189,12,404
32,28,405
73,43,406
1419,126,407
1216,72,408
952,58,409
1958,10,410
1937,67,411
479,224,412
827,126,413
651,261,414
346,232,415
1051,13,416
877,182,417
952,304,418
1675,86,419
704,206,420
481,32,421
1282,46,422
718,204,423
1760,94,424
1088,71,425
1671,359,426
876,43,427
79,21,428
843,29,429
1565,126,430
1015,41,431
89,214,432
143,18,433
94,379,434
1280,393,435
119,97,436
538,92,437
427,225,438
305,94,439
927,211,440
1589,18,441
323,16,442
1945,374,443
282,499,444
489,204,445
1029,86,446
186,79,447
5,168,448
35,229,449
1770,94,450
1861,71,451
1485,83,452
312,259,453
1753,349,454
852,203,455
67,231,456
1842,229,457
476,30,458
711,330,459
563,80,460
2123,207,461
1786,31,462
1113,214,463
454,55,464
1045,83,465
543,153,466
474,135,467
1854,18,468
758,238,469
1370,379,470
1622,34,471
1096,161,472
1538,212,473
1519,60,474
59,207,475
269,50,476
111,12,477
793,85,478
14,92,479
119,94,480
378,232,481
2032,211,482
74,118,483
462,109,484
2077,297,485
648,118,486
1652,93,487
1889,47,488
2034,105,489
59,232,490
809,202,491
430,86,492
2097,30,493
32,124,494
1013,127,495
1365,87,496
1307,84,497
74,96,498
914,203,499
337,17,500
762,26,501
64,304,502
991,86,503
296,71,504
1616,489,505
1744,87,506
224,216,507
1737,32,508
1217,87,509
1345,97,510
105,58,511
1624,337,512
323,413,513
1607,196,514
72,441,515
1913,223,516
28,180,517
1245,0,518
642,326,519
1132,284,520
899,204,521
1346,359,522
674,26,523
618,203,524
439,239,525
45,220,526
1202,448,527
722,369,528
1213,335,529
166,72,530
558,226,531
438,36,532
939,56,533
1919,67,534
502,43,535
366,27,536
569,56,537
1096,222,538
723,12,539
1022,81,540
1257,477,541
1103,233,542
1636,45,543
1318,88,544
142,478,545
792,58,546
57,243,547
725,232,548
72,367,549
56,319,550
1437,214,551
412,269,552
21,34,553
1213,93,554
829,226,555
47,85,556
1671,24,557
1932,301,558
713,317,559
22,168,560
1708,127,561
200,8,562
486,215,563
52,340,564
2032,230,565
476,169,566
555,20,567
1436,206,568
705,239,569
1579,100,570
513,233,571
166,150,572
960,206,573
1202,427,574
1279,96,575
158,384,576
357,204,577
1294,39,578
35,337,579
351,295,580
1266,266,581
840,113,582
1694,18,583
323,270,584
2014,223,585
1831,168,586
16,154,587
1569,211,588
413,95,589
620,35,590
921,167,591
58,214,592
1028,459,593
173,79,594
43,8,595
447,226,596
312,215,597
514,314,598
804,59,599
207,234,600
16,93,601
640,202,602
1282,378,603
40,212,604
1471,53,605
1707,96,606
1057,233,607
443,124,608
1130,58,609
860,100,610
570,29,611
433,242,612
770,204,613
166,43,614
1328,311,615
2085,113,616
418,114,617
452,13,618
1904,14,619
1664,226,620
20,161,621
801,9,622
1943,43,623
350,349,624
1527,242,625
854,2,626
65,227,627
476,156,628
0,16,629
146,204,630
1677,371,631
1680,127,632
140,153,633
1744,137,634
1870,150,635
770,204,636
1056,109,637
1994,219,638
395,390,639
726,12,640
45,86,641
952,112,642
196,256,643
1654,277,644
267,153,645
13,138,646
2106,180,647
68,36,648
490,226,649
515,214,650
35,29,651
1004,172,652
1153,60,653
46,67,654
100,153,655
713,254,656
1198,72,657
1092,94,658
10,211,659
969,212,660
645,260,661
219,206,662
414,226,663
327,67,664
479,168,665
1705,9,666
648,40,667
127,87,668
336,175,669
1408,309,670
1739,168,671
1438,2,672
1492,324,673
321,211,674
1848,3,675
479,206,676
853,153,677
1109,59,678
1395,106,679
101,41,680
154,242,681
635,148,682
1439,98,683
1513,45,684
1744,39,685
56,206,686
1048,71,687
1368,56,688
1855,326,689
1926,76,690
10,230,691
2106,149,692
1936,255,693
952,40,694
1830,295,695
52,332,696
1421,322,697
499,168,698
625,86,699
1226,385,700
269,341,701
290,12,702
1087,230,703
885,140,704
1925,86,705
91,103,706
351,230,707
988,216,708
1250,206,709
1324,241,710
1283,23,711
60,306,712
1414,81,713
804,369,714
317,168,715
1345,242,716
973,350,717
1091,212,718
385,303,719
508,150,720
657,476,721
47,93,722
2081,118,723
651,58,724
2003,224,725
121,231,726
2042,87,727
651,377,728
1346,342,729
933,16,730
47,19,731
59,305,732
5,26,733
209,23,734
2064,276,735
281,203,736
2029,214,737
1957,317,738
47,259,739
323,220,740
72,234,741
981,254,742
1881,161,743
1553,167,744
1001,232,745
219,229,746
975,86,747
1499,335,748
2107,287,749
1132,212,750
1199,185,751
77,258,752
1712,125,753
940,233,754
1689,204,755
433,84,756
1675,86,757
639,12,758
876,439,759
199,202,760
631,369,761
633,244,762
2043,26,763
633,349,764
52,254,765
1348,204,766
196,134,767
1471,19,768
1615,32,769
76,322,770
821,284,771
1009,309,772
220,29,773
514,468,774
840,96,775
65,160,776
1381,70,777
19,255,778
1203,212,779
1922,214,780
1546,519,781
454,167,782
1538,217,783
91,123,784
1260,563,785
1515,34,786
192,86,787
732,166,788
1642,358,789
1636,57,790
256,162,791
85,214,792
961,198,793
62,227,794
42,98,795
826,18,796
52,386,797
75,310,798
1513,156,799
197,392,800
72,486,801
94,135,802
1482,212,803
554,22,804
1614,401,805
47,12,806
1283,238,807
104,19,808
983,226,809
732,110,810
1619,214,811
741,229,812
267,137,813
652,37,814
