user_id,item_id,rating
952,385,8
1075,525,6
744,3,10
52,372,8
57,308,8
293,18,10
756,243,10
1040,43,9
22,71,7
909,8,9
1054,476,7
138,93,10
803,103,9
1456,340,3
1532,204,10
1899,562,1
2007,309,8
816,206,9
56,71,10
1787,161,8
1021,4,9
1304,233,10
282,237,9
1967,71,7
1421,61,10
1132,230,10
544,276,10
82,434,8
306,115,8
426,214,10
1041,18,10
191,270,9
1897,226,6
1167,226,10
1653,204,8
856,9,10
204,331,10
64,39,7
93,56,9
64,322,2
47,208,10
14,127,9
762,12,10
1715,2,10
269,109,8
1007,25,8
1158,93,10
634,309,10
620,3,9
28,148,9
219,211,10
122,1,10
1910,556,6
2094,241,10
623,29,9
1414,214,8
1453,161,8
952,37,6
1754,36,9
283,88,10
40,222,10
785,9,10
35,58,9
840,41,10
323,212,8
1310,13,1
344,153,8
1372,124,9
12,41,10
648,10,10
16,168,10
826,165,10
903,256,10
40,331,8
2,104,9
1462,70,10
2127,29,1
1161,203,8
508,124,8
1757,226,9
798,221,7
142,307,3
166,45,10
1216,378,9
327,26,10
499,309,1
39,278,9
245,17,9
50,12,10
152,0,10
1492,208,8
1185,59,10
154,96,5
648,84,10
902,83,7
792,61,7
1662,86,1
500,124,9
1952,216,1
1875,56,10
2113,269,9
349,206,10
224,124,8
694,330,8
74,269,7
171,163,8
1919,359,6
1011,86,7
290,224,10
209,188,9
2112,19,9
1444,61,9
65,283,9
778,307,9
1488,140,10
1103,34,8
452,7,1
1093,112,1
617,329,10
502,229,5
1550,240,10
2058,61,10
1553,72,9
22,203,10
208,225,10
1501,94,8
1728,256,7
63,201,8
1396,168,10
56,229,1
1096,15,5
23,10,9
1771,59,9
36,19,8
56,233,10
616,150,10
166,31,10
539,29,9
1391,233,10
647,4,9
651,212,9
140,86,10
786,150,10
1388,269,7
481,242,8
1481,133,8
142,201,5
560,9,10
454,20,10
1687,537,9
1063,276,10
1109,225,10
123,208,8
1950,177,1
845,139,7
48,214,10
290,45,10
1551,7,4
1290,59,9
1696,109,1
952,347,4
0,21,6
494,10,10
416,250,5
2060,12,10
54,214,9
1927,206,10
1942,86,9
828,309,8
822,214,8
538,229,2
1381,436,10
1547,542,1
1028,272,9
1296,100,10
301,307,8
145,5,10
2137,121,7
2050,242,7
448,123,10
588,206,10
142,96,6
486,206,10
1089,89,8
1472,175,8
762,206,10
425,202,10
435,202,10
281,206,10
77,305,5
194,202,8
1202,335,9
1183,20,6
745,25,10
946,545,9
1728,165,8
1353,242,7
1869,211,10
1377,39,10
720,4,9
1835,87,10
1793,45,8
1740,211,1
747,56,10
1767,20,6
620,170,8
1104,415,10
166,146,6
142,254,8
1388,150,7
72,220,2
601,386,10
979,126,10
1456,466,4
2115,132,7
62,48,8
1000,232,10
460,2,1
1710,230,10
1964,180,9
191,380,9
1647,12,10
1489,149,8
65,14,8
120,211,10
416,144,6
1047,206,10
1793,230,9
476,96,7
1335,3,10
44,8,10
1803,58,7
241,9,10
1269,0,10
1734,206,8
305,401,10
773,87,10
511,9,9
523,59,10
1346,22,8
221,89,7
238,53,6
872,14,7
920,242,10
952,224,8
92,28,6
179,58,10
1992,142,10
1183,378,8
2047,452,5
655,174,9
1088,150,10
52,305,6
16,206,10
615,265,9
2,156,9
609,202,10
1004,303,9
1132,227,6
75,25,10
84,61,5
84,94,8
1463,413,8
1266,309,1
544,85,8
191,87,6
1180,12,10
679,203,10
2050,448,5
851,8,7
418,116,7
150,34,8
242,301,10
814,169,10
323,462,7
353,229,1
782,481,8
230,12,10
1883,18,7
1301,10,10
1428,89,9
731,206,9
1176,39,9
474,497,6
437,206,10
704,205,7
1471,36,7
852,383,7
978,385,9
657,224,9
1229,12,10
1469,13,9
1148,175,10
73,3,10
2121,126,1
832,12,9
467,12,6
1760,336,8
45,39,4
321,12,1
413,18,10
192,214,10
1398,13,10
16,168,10
327,206,10
1870,206,10
337,311,5
922,59,10
337,272,8
752,79,9
413,224,10
856,22,10
93,86,10
1979,301,6
432,61,10
872,201,8
2006,359,7
1029,71,10
2021,206,8
1372,388,7
1762,94,10
1972,227,9
1303,224,10
106,232,9
153,12,10
845,288,9
191,12,10
855,168,10
1854,273,10
57,359,7
22,216,10
1249,167,10
1283,372,9
505,12,10
821,296,8
1849,58,8
45,139,3
902,156,8
1635,2,10
89,109,6
35,85,9
1214,1,10
11,269,7
1580,91,6
416,463,8
828,317,8
1445,320,8
1260,49,8
1146,216,9
166,266,10
476,273,2
43,45,9
1471,389,7
175,100,7
1664,29,7
1010,22,8
894,203,10
1921,201,10
249,334,10
1220,371,6
1133,95,7
1123,386,8
446,31,10
313,68,3
389,20,9
539,57,6
153,260,10
197,378,9
320,150,10
58,277,7
791,203,8
781,122,8
1223,203,10
1444,242,9
514,67,6
955,3,5
1215,22,9
1343,278,6
60,315,9
821,34,10
1552,79,7
313,206,9
481,276,8
2075,206,10
42,246,8
877,276,8
476,188,9
578,309,8
323,21,7
1097,12,10
1225,233,10
1435,95,8
324,203,9
1000,523,10
74,6,8
43,329,7
1304,18,10
367,384,5
1505,445,10
609,206,10
62,380,5
514,183,9
304,374,10
1339,176,7
1152,71,10
696,2,6
360,230,9
2135,52,7
46,307,8
132,3,6
1572,241,10
1061,134,7
1337,18,10
1082,7,10
46,19,1
1064,226,8
146,86,10
428,20,2
333,215,8
13,148,8
197,2,7
2028,235,8
957,97,6
549,311,10
514,16,10
346,18,10
1275,32,10
203,206,1
707,206,9
1282,112,10
166,76,10
269,301,8
1283,347,8
204,206,10
96,28,10
782,202,10
28,39,9
68,124,10
2000,19,9
5,210,10
66,404,6
738,348,9
1732,213,10
1595,97,10
591,203,7
383,331,10
1837,259,7
22,88,10
848,461,5
1352,89,10
64,126,6
1440,423,6
166,231,10
481,234,8
1799,210,7
943,150,6
1485,270,9
274,87,8
679,206,8
961,80,9
158,19,10
692,168,8
1174,167,10
1232,43,8
1479,52,8
1115,140,9
