SessionId,ItemId,Time
0,0,1606823557.321
0,2069,1606823589.866
1,2,1620988378.021
1,4,1620989222.565
1,1,1620989343.745
1,3,1620989400.031
1,5,1620989567.244
1,5632,1620989605.76
2,6,1578702099.681
2,1467,1578702229.99
3,9,1587031892.287
3,7,1587031960.756
3,8,1587032133.929
3,10,1587032148.467
3,11,1587032225.301
3,1026,1587032264.124
4,12,1607323582.555
4,16,1607323582.557
4,13,1607323582.56
4,14,1607323654.816
4,15,1607323674.507
4,4203,1607323741.827
5,20,1620295578.989
5,17,1620295604.914
5,17,1620295614.514
5,18,1620295966.031
5,19,1620296096.545
5,5183,1620296185.656
6,21,1578542234.811
6,1736,1578548230.902
7,26,1598667524.671
7,22,1598667758.606
7,24,1598667793.518
7,25,1598688607.806
7,23,1598689277.536
7,8128,1598693696.508
8,29,1620955863.145
8,27,1620955900.62
8,28,1620955953.368
8,7304,1620956050.22
9,30,1594940556.637
9,30,1594940717.531
9,255,1594940774.608
10,31,1617700768.421
10,33,1617701068.002
10,34,1617701089.451
10,32,1617701109.652
10,35,1617701326.257
10,2724,1617701508.847
11,36,1606598861.577
11,37,1606598905.794
11,921,1606598955.196
12,38,1587362904.919
12,1496,1587363109.615
13,40,1598954134.945
13,44,1598954196.251
13,39,1598954234.014
13,41,1598954271.11
13,42,1598954334.807
13,43,1598954345.72
13,3716,1598954549.415
14,45,1587548273.678
14,4815,1587548402.275
15,46,1590452293.816
15,821,1590452333.759
16,48,1600732238.736
16,47,1600732272.558
16,49,1600732309.103
16,4608,1600732547.525
17,51,1593087979.999
17,55,1593087980.005
17,52,1593087995.916
17,53,1593088011.826
17,54,1593088023.211
17,50,1593088074.492
17,944,1593088130.852
18,58,1606481463.237
18,57,1606481698.144
18,56,1606481803.959
18,1710,1606482152.635
19,61,1616326170.097
19,59,1616326199.877
19,63,1616326274.101
19,60,1616326311.402
19,62,1616326465.591
19,62,1616326523.239
19,6194,1616326668.368
20,69,1614564597.319
20,64,1614599295.917
20,77,1614599309.83
20,70,1614599347.661
20,67,1614599371.975
20,75,1614599378.265
20,74,1614599417.88
20,71,1614599477.28
20,72,1614599526.337
20,66,1614599611.328
20,73,1614599682.338
20,76,1614599714.289
20,65,1614599766.024
